evolution$generation,humanInformedRatio,humanInformProbability,humanFollowProbability,rescuedDynamic,evolution$samples
500,0.22699757852905209,0.05414184386630421,0.1458777296890384,11.728888888888893,9
500,0.7998527024636788,0.38947238361422437,0.5033325974428047,77.62153846153846,65
500,0.05647696711404052,0.12162055428659402,0.8452731653612158,15.591111111111113,18
500,0.36758862316515806,0.03926584487541335,0.7703288062712245,31.777241379310347,58
500,0.24400467975868767,0.07419426069270041,0.5108120632374908,16.70163265306122,49
500,0.3592007822390768,0.05979712551566185,0.2701337128716701,16.107906976744182,43
500,0.494587052979905,0.16812112787627176,0.6419800899836876,43.333770491803286,61
500,0.24400495320348584,0.07419426069270041,0.5108122243734481,16.109090909090913,44
500,0.3473608644427799,0.43883470718096573,0.7146791065091043,65.79047619047618,63
500,0.45731476774384394,0.04630692283750126,0.50065231216498,27.27228070175438,57
